source,target,relationship
LOCAL_A000142,W4293221027,WRITES
LOCAL_A000145,W4293221027,WRITES
LOCAL_A000683,W4253353920,WRITES
LOCAL_A000150,W4293221027,WRITES
LOCAL_A000405,W4400130420,WRITES
LOCAL_A000405,I4210123993,AFFILIATED_WITH
LOCAL_A000141,W4293221027,WRITES
LOCAL_A000337,W4285191318,WRITES
LOCAL_A000255,W4312656552,WRITES
LOCAL_A000257,W4312656552,WRITES
LOCAL_A000223,W4312656552,WRITES
LOCAL_A000340,W4285191318,WRITES
LOCAL_A000187,W4293221027,WRITES
LOCAL_A000158,W4293221027,WRITES
LOCAL_A000349,W4285191318,WRITES
LOCAL_A000172,W4293221027,WRITES
LOCAL_A000310,W4243275109,WRITES
LOCAL_A000147,W4293221027,WRITES
LOCAL_A000311,W4243275109,WRITES
LOCAL_A000694,W4253353920,WRITES
LOCAL_A000357,W4285191318,WRITES
LOCAL_A000705,W4253353920,WRITES
LOCAL_A000008,W4416386813,WRITES
LOCAL_A000008,I152743029,AFFILIATED_WITH
LOCAL_A000008,I2802587341,AFFILIATED_WITH
A5101610614,W4308684493,WRITES
A5101610614,I21376657,AFFILIATED_WITH
A5112631868,W4410320989,WRITES
A5112631868,I291386647,AFFILIATED_WITH
A5136436435,W7161558438,WRITES
A5136436435,I4210097717,AFFILIATED_WITH
A5020036590,W4230184352,WRITES
A5080083095,W4405281261,WRITES
A5080083095,I100930933,AFFILIATED_WITH
A5062003821,W4377091076,WRITES
A5062003821,W4403528224,WRITES
A5062003821,W4372284010,WRITES
A5062003821,W4410344643,WRITES
A5062003821,W4403539683,WRITES
A5062003821,W4295135458,WRITES
A5062003821,I2802531901,AFFILIATED_WITH
A5062003821,I4210095567,AFFILIATED_WITH
A5062003821,I75778554,AFFILIATED_WITH
A5062003821,I198596950,AFFILIATED_WITH
A5062003821,I4210138643,AFFILIATED_WITH
A5086340912,W7162318469,WRITES
A5086340912,I4210111779,AFFILIATED_WITH
A5086340912,I74801974,AFFILIATED_WITH
A5129668892,W7162318469,WRITES
A5129668892,I202391551,AFFILIATED_WITH
A5129668892,I4210122644,AFFILIATED_WITH
A5077893525,W4283772388,WRITES
A5077893525,I3130997290,AFFILIATED_WITH
A5000637794,W4319596802,WRITES
A5000637794,W4414022061,WRITES
A5000637794,W4398763277,WRITES
A5000637794,W4367022856,WRITES
A5000637794,W4391126777,WRITES
A5000637794,W4403302723,WRITES
A5000637794,W4283838068,WRITES
A5000637794,W4321482630,WRITES
A5000637794,W7124505868,WRITES
A5000637794,W7166138059,WRITES
A5000637794,W4404920262,WRITES
A5000637794,W4391876512,WRITES
A5000637794,W4392286337,WRITES
A5000637794,W4400558697,WRITES
A5000637794,W4377002490,WRITES
A5000637794,W4402796579,WRITES
A5000637794,W4399659214,WRITES
A5000637794,W4413501956,WRITES
A5000637794,W4404826466,WRITES
A5000637794,W4412174766,WRITES
A5000637794,W4415596303,WRITES
A5000637794,W4310299078,WRITES
A5000637794,W4402723512,WRITES
A5000637794,W4405932039,WRITES
A5000637794,W4407223794,WRITES
A5000637794,I4210123993,AFFILIATED_WITH
A5000637794,I4210131701,AFFILIATED_WITH
A5000637794,I141445968,AFFILIATED_WITH
A5000637794,I4210138427,AFFILIATED_WITH
A5000637794,I170238339,AFFILIATED_WITH
A5130087177,W7138847349,WRITES
A5130087177,W7160374639,WRITES
A5130087177,W7161558438,WRITES
A5130087177,W7161842826,WRITES
A5130087177,I4210123993,AFFILIATED_WITH
A5130087177,I4210131701,AFFILIATED_WITH
A5126917756,W7131662221,WRITES
A5126917756,I4210123993,AFFILIATED_WITH
LOCAL_A000293,W2997493078,WRITES
LOCAL_A000293,I11935315,AFFILIATED_WITH
LOCAL_A000293,I19894307,AFFILIATED_WITH
LOCAL_A000293,I4210159287,AFFILIATED_WITH
A5085027248,W2519522313,WRITES
A5085027248,W2676123895,WRITES
A5085027248,W2936657119,WRITES
A5085027248,I11935315,AFFILIATED_WITH
A5085027248,I19894307,AFFILIATED_WITH
A5085027248,I4210159287,AFFILIATED_WITH
A5085027248,I1294671590,AFFILIATED_WITH
A5025657852,W4376891951,WRITES
A5025657852,I138925566,AFFILIATED_WITH
A5025657852,I197347611,AFFILIATED_WITH
A5129672000,W7162318469,WRITES
A5129672000,I132053463,AFFILIATED_WITH
A5136966328,W7162318469,WRITES
A5136966328,I137975476,AFFILIATED_WITH
A5109711777,W4384944020,WRITES
A5109711777,W4396585527,WRITES
A5109711777,I4210101453,AFFILIATED_WITH
A5077602107,W4381833251,WRITES
A5077395669,W4391261154,WRITES
A5077395669,I4210123993,AFFILIATED_WITH
A5057050099,W4401892575,WRITES
A5057050099,I2799747612,AFFILIATED_WITH
A5109980044,W7162318469,WRITES
A5109980044,I184937672,AFFILIATED_WITH
A5049636432,W4207065025,WRITES
A5049636432,I1286329397,AFFILIATED_WITH
A5136219938,W7161302210,WRITES
A5136219938,I193775966,AFFILIATED_WITH
A5113227826,W4398763277,WRITES
A5113227826,W4367022856,WRITES
A5113227826,W4308183904,WRITES
A5113227826,W4404826466,WRITES
A5113227826,W4310299078,WRITES
A5113227826,W4313592827,WRITES
A5113227826,I4210097717,AFFILIATED_WITH
A5043664908,W4387326361,WRITES
A5043664908,I2801312763,AFFILIATED_WITH
A5042264865,W2129239406,WRITES
A5042264865,W2124661513,WRITES
A5042264865,W2037351555,WRITES
A5042264865,I913481162,AFFILIATED_WITH
A5012512059,W4391474950,WRITES
A5012512059,I120089902,AFFILIATED_WITH
A5012512059,I142608572,AFFILIATED_WITH
A5012512059,I159247623,AFFILIATED_WITH
LOCAL_A000585,W4281740790,WRITES
LOCAL_A000585,I4210123993,AFFILIATED_WITH
A5048485189,W4391126777,WRITES
A5048485189,I120938084,AFFILIATED_WITH
A5083459846,W4406024089,WRITES
A5083459846,I144696833,AFFILIATED_WITH
A5083459846,I150468666,AFFILIATED_WITH
A5083459846,I4210123993,AFFILIATED_WITH
A5083459846,I4210158018,AFFILIATED_WITH
A5060002377,W4221099258,WRITES
A5060002377,I4210149923,AFFILIATED_WITH
A5053378533,W4313558926,WRITES
A5053378533,I127670440,AFFILIATED_WITH
A5068511935,W4396875764,WRITES
A5068511935,I117965899,AFFILIATED_WITH
A5044252117,W4392734781,WRITES
A5044252117,I174025329,AFFILIATED_WITH
A5075548304,W4318476690,WRITES
A5075548304,I4210088633,AFFILIATED_WITH
A5075548304,I4210141426,AFFILIATED_WITH
A5007425238,W4322489023,WRITES
A5007425238,I68649149,AFFILIATED_WITH
A5023886955,W4309873978,WRITES
A5023886955,I28022161,AFFILIATED_WITH
A5078351000,W4387442103,WRITES
A5078351000,I100086675,AFFILIATED_WITH
A5044748360,W4284963908,WRITES
A5044748360,I108714496,AFFILIATED_WITH
A5044748360,I4210131288,AFFILIATED_WITH
A5044748360,I63596082,AFFILIATED_WITH
A5044748360,I82952536,AFFILIATED_WITH
A5090107776,W4313332129,WRITES
A5090107776,I196051555,AFFILIATED_WITH
A5022528171,W4302847498,WRITES
A5022528171,I205133468,AFFILIATED_WITH
A5101860760,W7163549597,WRITES
A5101860760,I36001604,AFFILIATED_WITH
A5086990384,W4294839230,WRITES
A5086990384,I152815399,AFFILIATED_WITH
A5087254067,W4280639034,WRITES
A5087254067,W4280596211,WRITES
A5087254067,I4210143550,AFFILIATED_WITH
A5017369658,W4391533706,WRITES
A5017369658,W4413957744,WRITES
A5017369658,I157358134,AFFILIATED_WITH
A5079670135,W4415696216,WRITES
A5079670135,I132359460,AFFILIATED_WITH
A5079670135,I275778967,AFFILIATED_WITH
A5065897099,W4415093469,WRITES
A5065897099,I82571370,AFFILIATED_WITH
A5013334398,W4383875588,WRITES
A5013334398,I170979836,AFFILIATED_WITH
A5034456266,W3200896269,WRITES
A5034456266,I174731842,AFFILIATED_WITH
A5034456266,I4210150297,AFFILIATED_WITH
A5027038320,W7131109455,WRITES
A5027038320,I4210161757,AFFILIATED_WITH
A5091972389,W4388757718,WRITES
A5091972389,I4210128965,AFFILIATED_WITH
A5091972389,I83332908,AFFILIATED_WITH
A5071504081,W4410974180,WRITES
A5071504081,W4416208916,WRITES
A5071504081,I142263535,AFFILIATED_WITH
A5053615849,W2983803309,WRITES
A5010718958,W2920977915,WRITES
